Vaccine at 16 months to 24 months,"These are the vaccines that should be given from 16-24 months:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('DPT First Booster?')"";>DPT First Booster</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('OPV Booster?')"";>OPV Booster</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Measles 2nd Dose?')"";>Measles Second Dose</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Vitamin A (2nd to 9th dose)')"";>Vitamin A (2nd to 9th Dose)</a><br>"
Vaccine at age 5 and 6,"Vaccine to be given at age 5 or 6:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('DPT second booster?')"";>DPT Second Booster</a><br>"
Vaccine at age 10 and above,"Vaccine to be given at age 10 and above:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('TT?')"";>TT</a><br>"
Vaccine at 9 months to 12 months,"These are the vaccines that should be given from 9-12 months:<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Measles First Dose?')"";>Measles First Dose</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Vitamin A First Dose?')"";>Vitamin A First Dose</a><br>"
Vaccine at 6 months,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine"
Vaccine at 1 year,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose"
Vaccine at 2 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose)"
Vaccine at 3 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose)"
Vaccine at 4 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose)"
Vaccine at 5 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose). The vaccine DPT Second booster should be given at 5 years of age."
Vaccine at 6 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose). The vaccine DPT Second booster should be given at 6 years of age, if it was not given when the child was 5 years old."
Vaccine at 7 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster."
Vaccine at 8 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster."
Vaccine at 9 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster."
Vaccine at 10 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster. TT first shot should be given at 10 years of age."
Vaccine at 11 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT."
Vaccine at 12 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT."
Vaccine at 13 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT."
Vaccine at 14 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT."
Vaccine at 15 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT."
Vaccine at 16 years,"The child should've been given BCG, Hepatitis B Birth dose, BCG, OPV Birth dose, OPV 1,2&3, IPV, Pentavalent 1,2&3, Rota Virus Vaccine, Measles First dose, Vitamin A First dose, DPT First booster, OPV Booster, Measles 2nd dose, Vitamin A (2nd to 9th dose), DPT Second booster, TT. TT second shot should be given at 16 years of age."
